受访者 ID,年龄 ,Gender, 地区 ,答题时长(秒),Q1_整体满意度,Q2_推荐意愿,Q3_使用频率,Q4_是否购买,Q5_界面满意度,Q6_功能满意度,Q7_体验评分,Q8_性价比评分,Q9_复购意愿
R00001,36-45,男,杭州,38,满意,不确定,经常,否,满意,肯定会,9,3,经常
R00002,18-25,女,杭州,23,非常满意,肯定会,总是,否,不满意,可能不会,10,10,偶尔
R00003,26-35,女,成都,40,非常满意,肯定会,偶尔,否,满意,可能不会,5,2,经常
R00004,18-25,女,成都,41,一般,可能会,从不,否,非常不满意,不确定,7,2,经常
R00005,36-45,女,北京,17,非常满意,不确定,偶尔,否,不满意,可能会,5,7,偶尔
R00006,36-45,男,杭州,42,满意,不确定,经常,否,非常不满意,肯定不会,3,8,经常
R00007,46-55,女,杭州,5,满意,可能会,经常,否,一般,肯定会,2,7,偶尔
R00008,18-25,女,深圳,10,满意,肯定会,偶尔,否,非常满意,肯定不会,2,7,偶尔
R00009,26-35,其他,深圳,10,一般,可能会,总是,是,一般,可能会,9,4,总是
R00010,18-25,男,北京,31,满意,可能不会,偶尔,否,一般,肯定会,8,8,经常
R00011,18-25,男,深圳,15,不满意,肯定会,总是,否,满意,不确定,3,10,很少
R00012,26-35,女,杭州,40,满意,可能会,偶尔,否,一般,不确定,1,3,经常
R00013,18-25,男,上海,21,非常不满意,肯定会,经常,是,非常满意,可能不会,8,4,很少
R00014,18-25,女,北京,25,一般,肯定会,很少,否,一般,不确定,2,8,从不
R00015,36-45,女,北京,11,不满意,不确定,偶尔,是,一般,可能会,6,3,偶尔
R00016,26-35,其他,深圳,29,不满意,不确定,从不,否,一般,不确定,1,3,总是
R00017,18-25,男,深圳,8,不满意,可能会,经常,否,不满意,不确定,1,4,偶尔
R00018,26-35,男,广州,11,一般,可能会,总是,否,满意,不确定,9,3,总是
R00019,46-55,女,上海,5,非常满意,可能会,总是,否,满意,可能会,2,4,偶尔
R00020,18-25,女,杭州,15,满意,不确定,经常,否,满意,不确定,7,4,总是
R00021,46-55,男,杭州,12,非常满意,不确定,经常,是,非常不满意,可能不会,8,1,偶尔
R00022,36-45,男,北京,30,满意,肯定会,偶尔,否,一般,肯定会,4,7,偶尔
R00023,26-35,男,北京,5,一般,肯定不会,经常,是,满意,可能不会,6,6,经常
R00024,18-25,女,成都,30,满意,可能会,从不,是,非常满意,肯定会,5,7,经常
R00025,56+,男,成都,38,满意,肯定会,从不,是,一般,不确定,8,10,总是
R00026,26-35,女,深圳,20,满意,可能会,偶尔,是,非常不满意,可能不会,1,6,经常
R00027,18-25,男,杭州,39,满意,可能会,经常,是,非常满意,可能会,5,10,偶尔
R00028,18-25,男,成都,40,满意,可能会,偶尔,是,满意,不确定,1,8,很少
R00029,46-55,女,成都,20,非常满意,可能会,偶尔,是,满意,可能会,1,10,偶尔
R00030,36-45,男,深圳,9,非常满意,可能不会,经常,否,一般,可能会,7,9,很少
R00031,46-55,女,北京,37,满意,肯定会,经常,是,满意,可能不会,1,9,偶尔
R00032,36-45,女,成都,5,一般,不确定,经常,是,非常不满意,不确定,1,6,经常
R00033,26-35,男,成都,29,满意,不确定,偶尔,是,满意,可能不会,9,3,经常
R00034,56+,男,广州,28,一般,不确定,经常,是,一般,可能不会,10,5,很少
R00035,26-35,男,广州,45,非常满意,可能会,经常,否,满意,可能会,4,4,偶尔
R00036,26-35,男,北京,26,满意,不确定,经常,否,不满意,可能会,8,3,总是
R00037,46-55,女,广州,29,一般,可能会,偶尔,是,非常满意,可能不会,9,10,经常
R00038,36-45,女,杭州,11,一般,肯定会,经常,是,一般,不确定,8,9,偶尔
R00039,46-55,女,杭州,40,一般,可能会,经常,否,一般,不确定,1,4,偶尔
R00040,26-35,女,广州,37,非常满意,可能不会,经常,否,满意,可能不会,4,9,经常
R00041,36-45,女,上海,42,一般,肯定会,从不,是,一般,肯定不会,5,8,很少
R00042,18-25,女,广州,17,不满意,可能会,偶尔,否,满意,不确定,9,2,很少
R00043,18-25,女,北京,33,非常满意,肯定不会,总是,是,满意,可能会,2,5,总是
R00044,26-35,女,上海,7,满意,不确定,偶尔,是,非常满意,可能会,9,8,经常
R00045,18-25,男,深圳,35,非常不满意,可能会,很少,是,满意,可能会,7,3,总是
R00046,18-25,女,上海,40,非常满意,肯定会,偶尔,是,一般,可能会,9,7,经常
R00047,18-25,男,成都,39,满意,不确定,很少,是,一般,不确定,5,9,经常
R00048,26-35,女,杭州,28,满意,不确定,经常,否,不满意,可能不会,10,2,总是
R00049,36-45,女,成都,26,非常不满意,肯定会,从不,是,不满意,不确定,4,10,经常
