respondent_id,age,gender,region,education,duration_seconds,Q1_整体满意度,Q2_推荐意愿,Q3_使用频率,Q4_是否购买,Q5_界面满意度,Q6_功能满意度,Q7_体验评分,Q8_性价比评分,Q9_复购意愿
R001,36-45,其他,上海,本科,326,满意,可能会,很少,否,一般,可能会,3,10,经常
R002,18-25,女,杭州,大专,327,满意,肯定不会,偶尔,是,满意,可能会,8,8,偶尔
R003,26-35,其他,广州,高中及以下,229,满意,肯定会,总是,否,满意,不确定,10,6,很少
R004,18-25,女,杭州,硕士及以上,504,一般,不确定,经常,是,非常不满意,肯定会,10,2,偶尔
R005,36-45,男,深圳,本科,573,满意,不确定,经常,是,一般,可能会,1,2,经常
R006,36-45,女,北京,大专,232,一般,肯定会,经常,是,一般,可能会,8,3,经常
R007,46-55,女,杭州,本科,461,满意,可能会,偶尔,否,一般,可能会,9,7,经常
R008,18-25,女,杭州,本科,400,满意,不确定,总是,是,满意,可能会,5,9,偶尔
R009,26-35,男,杭州,本科,242,一般,可能不会,偶尔,是,一般,可能会,3,3,很少
R010,18-25,女,杭州,高中及以下,475,一般,不确定,偶尔,是,一般,肯定不会,7,7,总是
R011,18-25,男,杭州,高中及以下,419,非常满意,肯定不会,总是,是,一般,肯定会,5,7,总是
R012,26-35,男,北京,硕士及以上,547,满意,可能会,经常,否,一般,可能不会,7,8,从不
R013,18-25,男,广州,硕士及以上,292,满意,肯定会,经常,否,非常满意,肯定会,9,1,总是
R014,18-25,女,上海,本科,423,满意,肯定不会,经常,是,一般,肯定不会,7,6,很少
R015,36-45,女,广州,硕士及以上,287,一般,肯定会,偶尔,否,一般,可能会,8,1,经常
R016,26-35,男,北京,本科,146,非常满意,不确定,经常,否,满意,可能会,4,4,经常
R017,18-25,女,广州,大专,438,一般,可能不会,经常,是,一般,可能会,6,3,经常
R018,26-35,男,杭州,大专,502,满意,肯定会,很少,是,满意,肯定会,10,7,偶尔
R019,46-55,女,上海,本科,486,一般,可能会,经常,是,满意,不确定,10,2,经常
R020,18-25,女,成都,硕士及以上,409,满意,不确定,偶尔,是,满意,不确定,7,8,很少
R021,46-55,男,广州,硕士及以上,305,满意,肯定会,经常,是,满意,肯定会,5,10,经常
R022,36-45,女,广州,硕士及以上,395,满意,可能会,经常,是,一般,可能不会,2,5,总是
R023,26-35,女,杭州,硕士及以上,244,满意,可能会,经常,是,一般,不确定,8,4,偶尔
R024,18-25,男,杭州,大专,252,一般,肯定会,经常,是,非常不满意,肯定会,2,4,经常
R025,56+,女,深圳,大专,370,满意,不确定,偶尔,否,一般,肯定不会,5,4,偶尔
R026,26-35,女,成都,大专,244,一般,可能会,偶尔,是,一般,可能会,6,6,经常
R027,18-25,女,北京,硕士及以上,258,一般,不确定,经常,是,满意,肯定会,3,4,很少
R028,18-25,女,上海,硕士及以上,367,一般,可能会,经常,是,非常满意,可能会,5,4,偶尔
